"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2015","8.26",""
"Albania","2015","63.252932696931",""
"Algeria","2015","38.2",""
"Andorra","2015","96.91",""
"Angola","2015","12.4",""
"Antigua and Barbuda","2015","65.2",""
"Arab World","2015","39.5261540659397",""
"Argentina","2015","69.40092102179",""
"Armenia","2015","58.2493322231746",""
"Aruba","2015","88.661226932496",""
"Australia","2015","84.560519347399",""
"Austria","2015","83.9263",""
"Azerbaijan","2015","77",""
"Bahamas, The","2015","78",""
"Bahrain","2015","93.4783011354165",""
"Bangladesh","2015","14.4",""
"Barbados","2015","76.11",""
"Belarus","2015","62.230360906803",""
"Belgium","2015","85.0529",""
"Belize","2015","41.589999999835",""
"Benin","2015","6.787702956098",""
"Bermuda","2015","98.3236096537251",""
"Bhutan","2015","39.8",""
"Bolivia","2015","45.1",""
"Bosnia and Herzegovina","2015","65.065502803344",""
"Botswana","2015","27.5",""
"Brazil","2015","59.079477910505",""
"Brunei Darussalam","2015","71.2",""
"Bulgaria","2015","56.6563",""
"Burkina Faso","2015","11.387646166247",""
"Burundi","2015","4.86622446359511",""
"Cambodia","2015","19",""
"Cameroon","2015","20.6801476606263",""
"Canada","2015","88.47",""
"Cape Verde","2015","43.019626357101",""
"Cayman Islands","2015","77",""
"Central African Republic","2015","4.563264351542",""
"Chad","2015","2.70000000055",""
"Chile","2015","64.289",""
"China","2015","50.3",""
"Colombia","2015","55.9049725142924",""
"Comoros","2015","7.459161385649",""
"Congo, Dem. Rep.","2015","3.799999507273",""
"Congo, Rep.","2015","7.61597466209",""
"Costa Rica","2015","59.7629501371681",""
"Cote d'Ivoire","2015","21",""
"Croatia","2015","69.8031",""
"Cuba","2015","31.107970210145",""
"Cyprus","2015","71.7159",""
"Czech Republic","2015","81.2986",""
"Denmark","2015","96.3305",""
"Djibouti","2015","11.9224314345",""
"Dominica","2015","67.6",""
"Dominican Republic","2015","51.9302327383135",""
"Ecuador","2015","48.9404337892669",""
"Egypt, Arab Rep.","2015","35.9",""
"El Salvador","2015","26.915075328277",""
"Equatorial Guinea","2015","21.319999985207",""
"Eritrea","2015","1.083733115675",""
"Estonia","2015","88.4066",""
"Ethiopia","2015","11.6",""
"Faeroe Islands","2015","94.2",""
"Fiji","2015","46.32872894627",""
"Finland","2015","92.6513",""
"France","2015","84.6945",""
"French Polynesia","2015","64.560209747212",""
"Gabon","2015","23.5",""
"Gambia, The","2015","17.119820502123",""
"Georgia","2015","45.1583744140752",""
"Germany","2015","87.5898",""
"Ghana","2015","23.478128435343",""
"Greece","2015","66.835",""
"Greenland","2015","67.600443481006",""
"Grenada","2015","53.81",""
"Guam","2015","73.139999947043",""
"Guatemala","2015","27.100000000275",""
"Guinea","2015","4.7",""
"Guinea-Bissau","2015","3.540706917021",""
"Guyana","2015","38.2",""
"Haiti","2015","12.197766377036",""
"Heavily indebted poor countries (HIPC)","2015","12.1335183726839",""
"High income","2015","81.0147435830839",""
"Honduras","2015","20.356867428881",""
"Hong Kong SAR, China","2015","84.9483529634062",""
"Hungary","2015","72.8347",""
"Iceland","2015","98.2",""
"India","2015","26",""
"Indonesia","2015","21.9760677113476",""
"Iran, Islamic Rep.","2015","44.082875016875",""
"Iraq","2015","17.22",""
"Ireland","2015","80.1224",""
"Israel","2015","78.88517910353",""
"Italy","2015","65.5716",""
"Jamaica","2015","43.1758971872",""
"Japan","2015","93.329411063737",""
"Jordan","2015","53.4",""
"Kazakhstan","2015","72.8660129673921",""
"Kenya","2015","45.6228006060586",""
"Kiribati","2015","12.99748389414",""
"Korea, Rep.","2015","89.8962557995106",""
"Kuwait","2015","82.0791147627883",""
"Kyrgyz Republic","2015","30.247042775311",""
"Laos","2015","18.2",""
"Latvia","2015","79.2006",""
"Lebanon","2015","74",""
"Lesotho","2015","16.071707703394",""
"Liberia","2015","5.903867602799",""
"Libya","2015","19.016079781565",""
"Liechtenstein","2015","96.6411950959488",""
"Lithuania","2015","71.378",""
"Luxembourg","2015","97.3341",""
"Macedonia, FYR","2015","70.3802",""
"Madagascar","2015","4.173972190007",""
"Malawi","2015","9.2981483471244",""
"Malaysia","2015","71.0640678111957",""
"Maldives","2015","54.461955146942",""
"Mali","2015","10.33692498389",""
"Malta","2015","76.184",""
"Marshall Islands","2015","19.282441803511",""
"Mauritania","2015","15.199126690825",""
"Mauritius","2015","50.1393184766711",""
"Mexico","2015","57.4310429923633",""
"Micronesia, Fed. Sts.","2015","31.501081275309",""
"Moldova","2015","49.8369395415",""
"Monaco","2015","93.3633020180933",""
"Mongolia","2015","21.4360311065255",""
"Montenegro","2015","64.564993139872",""
"Morocco","2015","57.08",""
"Mozambique","2015","9",""
"Myanmar","2015","21.8",""
"Namibia","2015","22.3070147912325",""
"Nepal","2015","17.58161800656",""
"Netherlands","2015","93.0965",""
"New Caledonia","2015","74.00175279141",""
"New Zealand","2015","88.22288881795",""
"Nicaragua","2015","19.704291498993",""
"Niger","2015","2.220165349673",""
"Nigeria","2015","47.442550294429",""
"North America","2015","75.9372515632806",""
"Norway","2015","96.8103",""
"Oman","2015","74.174165970433",""
"Pakistan","2015","18",""
"Panama","2015","51.2054249948687",""
"Papua New Guinea","2015","7.9",""
"Paraguay","2015","44.381596919184",""
"Peru","2015","40.9",""
"Philippines","2015","40.7",""
"Poland","2015","67.997",""
"Portugal","2015","68.6329",""
"Puerto Rico","2015","79.46876882531",""
"Qatar","2015","92.8848264535481",""
"Romania","2015","55.7632",""
"Russian Federation","2015","73.41",""
"Rwanda","2015","18",""
"Samoa","2015","25.407009766593",""
"Sao Tome and Principe","2015","25.822248798856",""
"Saudi Arabia","2015","69.6162358014004",""
"Senegal","2015","21.690264133037",""
"Serbia","2015","65.3170254003801",""
"Seychelles","2015","58.118697567706",""
"Sierra Leone","2015","2.5",""
"Singapore","2015","82.103",""
"Slovak Republic","2015","85.019514056785",""
"Slovenia","2015","73.0987",""
"Solomon Islands","2015","10.000464982561",""
"Somalia","2015","1.76",""
"South Africa","2015","51.919115722747",""
"South Asia","2015","23.6279411151014",""
"Spain","2015","78.6896",""
"Sri Lanka","2015","29.988737549341",""
"St. Kitts and Nevis","2015","75.7",""
"St. Lucia","2015","52.35",""
"St. Vincent and the Grenadines","2015","51.77",""
"Sudan","2015","26.614928545846",""
"Suriname","2015","42.763827782511",""
"Swaziland","2015","30.382700656117",""
"Sweden","2015","90.6102",""
"Switzerland","2015","87.97",""
"Syrian Arab Republic","2015","29.979797235769",""
"Tajikistan","2015","18.980000000495",""
"Tanzania","2015","5.355144064127",""
"Thailand","2015","39.3161267365004",""
"Timor-Leste","2015","13.4",""
"Togo","2015","7.12",""
"Tonga","2015","44.999518833326",""
"Trinidad and Tobago","2015","69.198470608693",""
"Tunisia","2015","48.519835991689",""
"Turkey","2015","53.7449791423583",""
"Turkmenistan","2015","14.996774820447",""
"Tuvalu","2015","42.7",""
"Uganda","2015","19.221099634407",""
"Ukraine","2015","49.26",""
"United Arab Emirates","2015","91.2434057753709",""
"United Kingdom","2015","92.0003",""
"United States of America","2015","74.55",""
"Uruguay","2015","64.6",""
"Uzbekistan","2015","42.8",""
"Vanuatu","2015","22.351404582536",""
"Venezuela, RB","2015","61.869248094278",""
"Vietnam","2015","52.720000000055",""
"Virgin Islands (U.S.)","2015","54.839137296",""
"West Bank and Gaza","2015","57.42419241388",""
"Yemen, Rep.","2015","25.09951439988",""
"Zambia","2015","21",""
"Zimbabwe","2015","16.36",""

